Country,Sex,Year,Prevalence,Indicator,Prevalence_pct,Population,GDP_per_capita,Income_group,Region,Absolute_count
Afghanistan,Men,1975,0.251040658526807,Blood Pressure,25.1,12773954.0,1074.0,,"Middle East, North Africa, Afghanistan & Pakistan",3206781.8241511406
Afghanistan,Men,1976,0.252481921805874,Blood Pressure,25.2,13059851.0,1105.0,,"Middle East, North Africa, Afghanistan & Pakistan",3297376.278978365
Afghanistan,Men,1977,0.254044186183753,Blood Pressure,25.4,13340756.0,1022.0,,"Middle East, North Africa, Afghanistan & Pakistan",3389141.50109602
Afghanistan,Men,1978,0.255709455745401,Blood Pressure,25.6,13611441.0,1070.0,,"Middle East, North Africa, Afghanistan & Pakistan",3480574.1700206366
Afghanistan,Men,1979,0.257459142285672,Blood Pressure,25.7,13655567.0,1023.0,,"Middle East, North Africa, Afghanistan & Pakistan",3515750.5672445274
Afghanistan,Men,1980,0.259258959212401,Blood Pressure,25.9,13169311.0,1019.0,,"Middle East, North Africa, Afghanistan & Pakistan",3414261.863404424
Afghanistan,Men,1981,0.261066610780281,Blood Pressure,26.1,11937581.0,1144.0,,"Middle East, North Africa, Afghanistan & Pakistan",3116503.8125850772
Afghanistan,Men,1982,0.262911794675949,Blood Pressure,26.3,10991378.0,1270.0,,"Middle East, North Africa, Afghanistan & Pakistan",2889762.9159417427
Afghanistan,Men,1983,0.264801691732571,Blood Pressure,26.5,10917982.0,1347.0,,"Middle East, North Africa, Afghanistan & Pakistan",2891100.1039057593
Afghanistan,Men,1984,0.266718923262507,Blood Pressure,26.7,11190221.0,1337.0,,"Middle East, North Africa, Afghanistan & Pakistan",2984643.6961894943
Afghanistan,Men,1985,0.268537180857703,Blood Pressure,26.9,11426852.0,1304.0,,"Middle East, North Africa, Afghanistan & Pakistan",3068534.622158205
Afghanistan,Men,1986,0.270139060186724,Blood Pressure,27.0,11420074.0,1344.0,,"Middle East, North Africa, Afghanistan & Pakistan",3085008.057622842
Afghanistan,Men,1987,0.271577400643142,Blood Pressure,27.2,11387818.0,1211.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",3092674.011437184
Afghanistan,Men,1988,0.272995035985522,Blood Pressure,27.3,11523298.0,1101.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",3145803.1521818936
Afghanistan,Men,1989,0.274337638078487,Blood Pressure,27.4,11874088.0,999.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",3257509.2562561054
Afghanistan,Men,1990,0.275730333397407,Blood Pressure,27.6,12045660.0,963.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",3321353.8477918096
Afghanistan,Men,1991,0.277155847471613,Blood Pressure,27.7,12238879.0,881.1704,Low income,"Middle East, North Africa, Afghanistan & Pakistan",3392076.8813475273
Afghanistan,Men,1992,0.278593859583683,Blood Pressure,27.9,13278974.0,843.87537,Low income,"Middle East, North Africa, Afghanistan & Pakistan",3699440.6179713774
Afghanistan,Men,1993,0.280055483769966,Blood Pressure,28.0,14943172.0,578.4028,Low income,"Middle East, North Africa, Afghanistan & Pakistan",4184917.26351781
Afghanistan,Men,1994,0.281611476157885,Blood Pressure,28.2,16250794.0,428.42456,Low income,"Middle East, North Africa, Afghanistan & Pakistan",4576410.0870777005
Afghanistan,Men,1995,0.283328255654546,Blood Pressure,28.3,17065836.0,632.94037,Low income,"Middle East, North Africa, Afghanistan & Pakistan",4835233.545166555
Afghanistan,Men,1996,0.285228018306936,Blood Pressure,28.5,17763266.0,600.1753,Low income,"Middle East, North Africa, Afghanistan & Pakistan",5066581.159838974
Afghanistan,Men,1997,0.287271499616728,Blood Pressure,28.7,18452091.0,570.59814,Low income,"Middle East, North Africa, Afghanistan & Pakistan",5300759.85263433
Afghanistan,Men,1998,0.289438116340899,Blood Pressure,28.9,19159996.0,545.03876,Low income,"Middle East, North Africa, Afghanistan & Pakistan",5545633.151339159
Afghanistan,Men,1999,0.291664488667249,Blood Pressure,29.2,19887785.0,518.65784,Low income,"Middle East, North Africa, Afghanistan & Pakistan",5800560.642749184
Afghanistan,Men,2000,0.293755330360394,Blood Pressure,29.4,20130327.0,502.37274,Low income,"Middle East, North Africa, Afghanistan & Pakistan",5913390.858147759
Afghanistan,Men,2001,0.295524281434236,Blood Pressure,29.6,20284307.0,489.682,Low income,"Middle East, North Africa, Afghanistan & Pakistan",5994505.2505664425
Afghanistan,Men,2002,0.297160963832117,Blood Pressure,29.7,21378117.0,796.8166,Low income,"Middle East, North Africa, Afghanistan & Pakistan",6352741.852635765
Afghanistan,Men,2003,0.298597161636498,Blood Pressure,29.9,22733049.0,842.8052,Low income,"Middle East, North Africa, Afghanistan & Pakistan",6788023.90674343
Afghanistan,Men,2004,0.299889538773068,Blood Pressure,30.0,23560654.0,869.03925,Low income,"Middle East, North Africa, Afghanistan & Pakistan",7065593.66125184
Afghanistan,Men,2005,0.300975283536711,Blood Pressure,30.1,24404567.0,964.4081,Low income,"Middle East, North Africa, Afghanistan & Pakistan",7345171.4724156605
Afghanistan,Men,2006,0.301812618972994,Blood Pressure,30.2,25424094.0,1057.0966,Low income,"Middle East, North Africa, Afghanistan & Pakistan",7673312.395155583
Afghanistan,Men,2007,0.302385030213277,Blood Pressure,30.2,25909852.0,1259.9967,Low income,"Middle East, North Africa, Afghanistan & Pakistan",7834751.379841535
Afghanistan,Men,2008,0.30280659512588,Blood Pressure,30.3,26482622.0,1319.6074,Low income,"Middle East, North Africa, Afghanistan & Pakistan",8019112.597825722
Afghanistan,Men,2009,0.303158229834593,Blood Pressure,30.3,27466101.0,1557.3207,Low income,"Middle East, North Africa, Afghanistan & Pakistan",8326574.559618145
Afghanistan,Men,2010,0.303429752672417,Blood Pressure,30.3,28284089.0,1627.6716,Low income,"Middle East, North Africa, Afghanistan & Pakistan",8582234.12983463
Afghanistan,Men,2011,0.303657382744929,Blood Pressure,30.4,29347708.0,1792.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",8911648.200842414
Afghanistan,Men,2012,0.303847223716514,Blood Pressure,30.4,30560034.0,1945.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",9285581.487582274
Afghanistan,Men,2013,0.304031294322244,Blood Pressure,30.4,31622704.0,2025.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",9614291.627089202
Afghanistan,Men,2014,0.304193068005631,Blood Pressure,30.4,32792523.0,2022.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",9975258.17901522
Afghanistan,Men,2015,0.304321156881429,Blood Pressure,30.4,33831764.0,1928.0,Low income,"Middle East, North Africa, Afghanistan & Pakistan",10295721.559819482
Algeria,Men,1975,0.306640257330756,Blood Pressure,30.7,15678596.0,4020.0,,"Middle East, North Africa, Afghanistan & Pakistan",4807688.712024962
Algeria,Men,1976,0.305859706594001,Blood Pressure,30.6,16409170.0,4157.0,,"Middle East, North Africa, Afghanistan & Pakistan",5018903.921651084
Algeria,Men,1977,0.305245953315046,Blood Pressure,30.5,17015994.0,4398.0,,"Middle East, North Africa, Afghanistan & Pakistan",5194063.310133103
Algeria,Men,1978,0.30480002110553,Blood Pressure,30.5,17506974.0,4812.0,,"Middle East, North Africa, Afghanistan & Pakistan",5336126.044693965
Algeria,Men,1979,0.304458378054159,Blood Pressure,30.4,18036655.0,5088.0,,"Middle East, North Africa, Afghanistan & Pakistan",5491410.726822437
Algeria,Men,1980,0.304203544277399,Blood Pressure,30.4,18607174.0,5024.0,,"Middle East, North Africa, Afghanistan & Pakistan",5660368.279786267
Algeria,Men,1981,0.304150260963632,Blood Pressure,30.4,19220704.0,4991.0,,"Middle East, North Africa, Afghanistan & Pakistan",5845982.137504726
Algeria,Men,1982,0.304238102220259,Blood Pressure,30.4,19872348.0,5145.0,,"Middle East, North Africa, Afghanistan & Pakistan",6045925.442180559
Algeria,Men,1983,0.304556557909919,Blood Pressure,30.5,20558115.0,5243.0,,"Middle East, North Africa, Afghanistan & Pakistan",6261108.741516274
Algeria,Men,1984,0.304884328454986,Blood Pressure,30.5,21271969.0,5361.0,,"Middle East, North Africa, Afghanistan & Pakistan",6485489.983480279
Algeria,Men,1985,0.305181568801488,Blood Pressure,30.5,22008544.0,5469.0,,"Middle East, North Africa, Afghanistan & Pakistan",6716601.984956576
